Armillaria_gallica_FP102531_C6D,0.30±0.05,0.36±0.05,0.34±0.06
Armillaria_gallica_EL8_A6F,0.18±0.06,0.26±0.05,0.38±0.15
Armillaria_gallica_FP102534_A5A,0.26±0.05,0.24±0.05,0.32±0.06
Armillaria_gallica_FP102535_A5D,0.16±0.05,0.30±0.05,0.24±0.06
Armillaria_gallica_FP102542_A5B,0.20±0.05,0.24±0.05,0.40±0.06
Armillaria_gallica_HHB12551_C6C,0.14±0.06,0.32±0.05,0.48±0.15
Armillaria_gallica_OC1_A6E,0.20±0.06,0.26±0.05,0.36±0.15
Armillaria_gallica_SH1_A4A,0.06±0.06,0.18±0.05,0.66±0.15
Armillaria_sinapina_PR9,0.33±0.04,0.60±0.05,0.84±0.07
Armillaria_tabescens_FP102622_A3C,0.35±0.03,0.60±0.04,0.93±0.16
Armillaria_tabescens_TJV93_261_A1E,0.32±0.03,0.68±0.13,1.56±0.06
Fomes_fomentarius_TJV93_7_A3E,0.36±0.08,1.28±0.22,4.62±0.24
Hyphodontia_crustosa_HHB13392_B7B,1.20±0.03,0.99±0.07,1.77±0.20
Hyphoderma_setigerum_HHB12156_B3H,1.39±0.06,3.70±0.00,6.46±0.17
Hyphoderma_setigerum_FP150263_B2C,0.44±0.03,1.90±0.06,4.68±0.22
Laetiporus_conifericola_HHB15411_C8B,1.08±0.78,3.31±0.13,6.00±0.30
Lentinus_crinitus_PR2058_C1B,1.64±0.00,3.06±0.09,6.17±0.12
Mycoacia_meridionalis_FP150352_C4E,0.36±0.01,1.10±0.01,1.60±0.00
Merulius_tremullosus_FP102301_C3E,3.30±0.10,5.85±2.31,8.67±0.56
Merulius_tremellosus_FP150849_C3F,3.40±0.00,6.50±2.24,8.33±0.39
Phlebiopsis_flavidoalba_FP102185_B12D,2.28±0.08,5.70±0.20,8.41±0.74
Phlebiopsis_flavidoalba_FP150451_A8G,3.04±0.05,7.40±0.00,10.57±0.15
Phellinus_gilvus_HHB11977_C4H,1.40±0.05,1.53±0.18,3.70±0.00
Phellinus_hartigii_DMR94_44_A10E,0.49±0.12,1.26±0.07,0.94±0.10
Porodisculus_pendulus_HHB13576_B12C,0.95±0.25,1.25±0.20,2.90±0.74
Phellinus_robiniae_FP135708_A10G,0.40±0.02,1.52±0.03,3.32±0.11
Phellinus_robiniae_AZ15_A10H Banik/Mark,0.39±0.02,1.24±0.01,2.84±0.07
Phlebia_acerina_MR4280_B9G,3.70±0.00,7.40±0.00,8.27±0.09
Phlebia_acerina_DR60_A8A,3.70±0.00,7.40±0.00,8.23±0.30
Pycnoporus_sanguineus_PR_SC_95_A11C,0.81±0.03,3.21±0.07,7.26±0.17
Schizophyllum_commune_TJV93_5_A10A,1.88±0.25,3.32±0.08,7.40±0.00
Schizophyllum_commune_PR1117,1.06±0.04,1.64±0.00,4.60±0.41
Tyromyces_chioneus_HHB11933_B10F,1.92±0.13,3.37±0.10,5.67±0.12
Xylobolus_subpileatus_FP102567_A11A,0.74±0.10,1.00±0.09,1.04±0.09